iter	Passed	Remaining
399	34105	51157
400	34191	51073
401	34277	50990
402	34357	50897
403	34429	50792
404	34515	50707
405	34599	50620
406	34679	50528
407	34754	50428
408	34829	50328
409	34905	50230
410	34977	50126
411	35062	50041
412	35157	49969
413	35257	49906
414	35359	49843
415	35441	49754
416	35526	49669
417	35601	49569
418	35687	49484
419	35774	49402
420	35873	49337
421	35961	49254
422	36061	49189
423	36159	49121
424	36257	49054
425	36336	48960
426	36416	48868
427	36492	48771
428	36582	48691
429	36656	48591
430	36732	48494
431	36815	48405
432	36892	48309
433	37002	48256
434	37114	48206
435	37216	48143
436	37301	48055
437	37381	47964
438	37462	47872
439	37556	47798
440	37639	47710
441	37719	47618
442	37801	47529
443	37889	47447
444	37979	47368
445	38076	47296
446	38159	47208
447	38264	47147
448	38344	47054
449	38421	46959
450	38516	46885
451	38615	46817
452	38708	46740
453	38819	46686
454	38923	46622
455	39032	46565
456	39118	46479
457	39251	46450
458	39358	46390
459	39469	46333
460	39560	46253
461	39648	46171
462	39726	46075
463	39804	45981
464	39881	45884
465	39964	45795
466	40040	45699
467	40121	45608
468	40201	45516
469	40287	45430
470	40361	45331
471	40440	45238
472	40517	45143
473	40587	45039
474	40665	44945
475	40777	44889
476	40873	44815
477	40979	44751
478	41085	44687
479	41192	44625
480	41272	44532
481	41353	44441
482	41423	44339
483	41508	44252
484	41585	44157
485	41675	44076
486	41763	43993
487	41868	43927
488	41957	43844
489	42062	43779
490	42168	43714
491	42274	43649
492	42368	43572
493	42446	43477
494	42527	43386
495	42598	43285
496	42682	43197
497	42761	43105
498	42834	43005
499	42914	42914
500	42996	42824
501	43074	42731
502	43160	42645
503	43238	42552
504	43326	42469
505	43403	42374
506	43491	42290
507	43564	42192
508	43649	42105
509	43728	42013
510	43800	41914
511	43890	41832
512	43965	41736
513	44042	41643
514	44122	41551
515	44209	41467
516	44295	41382
517	44372	41288
518	44455	41200
519	44533	41108
520	44607	41011
521	44688	40921
522	44760	40823
523	44840	40733
524	44924	40645
525	45009	40559
526	45106	40484
527	45184	40392
528	45274	40310
529	45351	40217
530	45433	40128
531	45507	40032
532	45588	39943
533	45670	39855
534	45768	39780
535	45841	39683
536	45943	39612
537	46020	39519
538	46104	39432
539	46185	39342
540	46271	39258
541	46353	39169
542	46429	39076
543	46509	38986
544	46583	38890
545	46661	38798
546	46754	38719
547	46890	38675
548	47043	38645
549	47151	38578
550	47301	38544
551	47451	38511
552	47554	38439
553	47647	38359
554	47733	38272
555	47820	38187
556	47911	38105
557	47991	38015
558	48066	37920
559	48149	37831
560	48237	37747
561	48318	37657
562	48406	37573
563	48484	37480
564	48571	37395
565	48645	37300
566	48723	37208
567	48801	37116
568	48877	37023
569	48961	36936
570	49047	36850
571	49134	36765
572	49260	36708
573	49374	36643
574	49459	36556
575	49550	36474
576	49647	36396
577	49734	36311
578	49891	36277
579	50087	36270
580	50193	36198
581	50300	36126
582	50402	36051
583	50509	35979
584	50614	35905
585	50708	35824
586	50826	35760
587	50990	35728
588	51116	35668
589	51225	35597
590	51323	35518
591	51406	35428
592	51500	35346
593	51606	35272
594	51701	35191
595	51808	35118
596	51897	35032
597	52000	34957
598	52097	34876
599	52190	34793
600	52270	34702
601	52356	34614
602	52430	34518
603	52516	34431
604	52597	34340
