iter	RMSE
0	0.3849478297
1	0.3719636631
2	0.3593477757
3	0.3486794371
4	0.3385915969
5	0.328562739
6	0.31826085
7	0.3079229325
8	0.2994841777
9	0.291127369
10	0.2821920594
11	0.2740108256
12	0.2669271643
13	0.260394742
14	0.2543767552
15	0.2475844862
16	0.2416525758
17	0.2362239337
18	0.2306693703
19	0.2253653353
20	0.2201567916
21	0.2155929354
22	0.2110926908
23	0.2065832472
24	0.202702357
25	0.1988606298
26	0.195036384
27	0.1913360045
28	0.1882637979
29	0.1849398732
30	0.1815433155
31	0.179069319
32	0.1760617298
33	0.1733144827
34	0.1706397435
35	0.1682907472
36	0.166349619
37	0.1643118803
38	0.1620929617
39	0.1599933339
40	0.1577135609
41	0.1554212302
42	0.1535878192
43	0.1520211878
44	0.1505712484
45	0.1492387444
46	0.14759949
47	0.1463441307
48	0.1448425738
49	0.1436038496
50	0.1422719203
51	0.1408261204
52	0.1394073239
53	0.1383943881
54	0.1372920386
55	0.1362605323
56	0.1353135006
57	0.1345059441
58	0.1334192724
59	0.1323747893
60	0.1313853159
61	0.1307179536
62	0.1299720082
63	0.1292158591
64	0.1285320896
65	0.1279143376
66	0.1272742199
67	0.1266145527
68	0.1259909049
69	0.1252818258
70	0.1246803213
71	0.1237647918
72	0.123065629
73	0.1223026223
74	0.1218324857
75	0.1212325633
76	0.1207141041
77	0.1200562682
78	0.1195573845
79	0.1189921877
80	0.1184027157
81	0.1179898583
82	0.1174286974
83	0.1170165796
84	0.1166381837
85	0.1161615303
86	0.1156741814
87	0.115245467
88	0.1147398439
89	0.1144562501
90	0.1139202368
91	0.1135100252
92	0.1131932445
93	0.1128073057
94	0.1125342431
95	0.1123126801
96	0.1118884224
97	0.1115560589
98	0.1112401822
99	0.1108946175
100	0.1104012857
101	0.1100375766
102	0.1096966251
103	0.109390903
104	0.1091409228
105	0.1088272323
106	0.1084958227
107	0.1081292106
108	0.1078820605
109	0.107486994
110	0.1071334981
111	0.106870115
112	0.1066714045
113	0.1063605097
114	0.1060599595
115	0.1057993384
116	0.1056371621
117	0.105385512
118	0.1051683292
119	0.1049387454
120	0.104801988
121	0.1045271877
122	0.1042538646
123	0.1039544139
124	0.1036585918
125	0.1033123458
126	0.1031013034
127	0.1028181401
128	0.1024792246
129	0.1021912383
130	0.1019883155
131	0.1016959476
132	0.1015270754
133	0.1011966214
134	0.1009599587
135	0.1007886162
136	0.1005860012
137	0.1003887623
138	0.1001599318
139	0.09992799886
140	0.09966903672
141	0.09963757159
142	0.09944721402
143	0.0992447844
144	0.0990956423
145	0.0989012466
146	0.09861613116
147	0.09842692061
148	0.09830646153
149	0.09801818284
150	0.09765165127
151	0.09738934973
152	0.09720610629
153	0.09698647635
154	0.09684038875
155	0.09679831092
156	0.09660315394
157	0.09638054021
158	0.09619819028
159	0.0961243389
160	0.0959747455
161	0.09582444671
162	0.09562213791
163	0.09552539974
164	0.09548320745
165	0.09532087532
166	0.0951805922
167	0.09490077877
168	0.09474367401
169	0.09464534849
170	0.09445280898
171	0.0943234351
172	0.09421102604
173	0.0939406591
174	0.09383912644
175	0.09367376377
176	0.09342941795
177	0.09329786957
178	0.09315498672
179	0.09309813995
180	0.09299133508
181	0.09278851095
182	0.09267518863
183	0.09240504721
184	0.09215634908
185	0.0920722518
186	0.09192913218
187	0.09172119472
188	0.09151992192
189	0.09121198862
190	0.09102454551
191	0.09090238174
192	0.09077104216
193	0.09072195941
194	0.09039580184
195	0.09032616179
196	0.0900644775
197	0.08980803425
198	0.08969287198
199	0.08939315053
200	0.0890981081
201	0.08880698107
202	0.08855269874
203	0.08846554468
204	0.08810932184
205	0.08799935921
206	0.08768423558
207	0.08751732085
208	0.08729937433
209	0.08717768116
210	0.08700171821
211	0.08691189807
212	0.08675443615
213	0.08662308845
214	0.08643005148
215	0.08629752719
216	0.08622397046
217	0.08611684767
218	0.08603436236
219	0.08588672834
220	0.08567125906
221	0.08549972978
222	0.0854031771
223	0.08529149757
224	0.08522161968
225	0.08508655425
226	0.08491484194
227	0.08477083032
228	0.08461359623
229	0.08451554068
230	0.0843998551
231	0.08435000574
232	0.08423667346
233	0.08412001656
234	0.0838651393
235	0.08368287592
236	0.08355640007
237	0.08336926432
238	0.08325300173
239	0.08314504269
240	0.0829795957
241	0.08292293311
242	0.0828506659
243	0.08271098019
244	0.08262449752
245	0.08254638377
246	0.08243434084
247	0.0823864036
248	0.08229345639
249	0.08215880673
250	0.08191579483
251	0.08169128994
252	0.08150409772
253	0.08133223874
254	0.08122920443
255	0.08118239281
256	0.08104191083
257	0.08096272221
258	0.08092788178
259	0.08082679946
260	0.08066143504
261	0.08057590137
262	0.08040819491
263	0.08026014637
264	0.08006587538
265	0.07992230957
266	0.07990642188
267	0.0798401799
268	0.07981387292
269	0.07974083045
270	0.07970510598
271	0.07964329748
272	0.07947608343
273	0.07940337237
274	0.07930808849
275	0.0791202933
276	0.07893808757
277	0.07891370724
278	0.07875641689
279	0.07869186481
280	0.07860725474
281	0.07848958847
282	0.07842367464
283	0.07839649981
284	0.07836947916
285	0.07824791761
286	0.07813997179
287	0.07803079209
288	0.07797490653
289	0.07786573015
290	0.07770720605
291	0.07756905636
292	0.07751295134
293	0.07733196866
294	0.07728643122
295	0.07721947319
296	0.07710782024
297	0.07706674066
298	0.07702029728
299	0.07692121882
300	0.07680935279
301	0.07671018482
302	0.07662498732
303	0.07648830937
304	0.07643204703
305	0.07638409948
306	0.07619229626
307	0.07607107353
308	0.07589562474
309	0.07566563102
310	0.07545120326
311	0.07541269734
312	0.07531132191
313	0.07528850753
314	0.07518852249
315	0.075140166
316	0.07496829658
317	0.07488133042
318	0.07464214102
319	0.07447147256
320	0.07440818652
321	0.07437461853
322	0.07432690155
323	0.07424690201
324	0.07417338017
325	0.07407029716
326	0.07391794966
327	0.07386075446
328	0.07383747386
329	0.07377745711
330	0.07370625464
331	0.07365987293
332	0.07361441259
333	0.07351936493
334	0.07343098465
335	0.07341572402
336	0.07333216
337	0.07330595432
338	0.07325205873
339	0.07318216758
340	0.07314839032
341	0.0730356126
342	0.07296573134
343	0.07287799455
344	0.07286094741
345	0.07279307651
346	0.07276093337
347	0.07273539149
348	0.07270546754
349	0.07256851957
350	0.07254998337
351	0.07241962241
352	0.07227769534
353	0.07219345257
354	0.07212679827
355	0.07201152847
356	0.07199365248
357	0.07196853268
358	0.07181254817
359	0.0718036524
360	0.07178535869
361	0.07171907256
362	0.07169705757
363	0.07166866926
364	0.07154646573
365	0.07144560079
366	0.07130782608
367	0.07123470051
368	0.07121277941
369	0.07120303708
370	0.0711850141
371	0.07112256385
372	0.07106687618
373	0.07097966589
374	0.07084764899
375	0.07072494902
376	0.07058302178
377	0.07047173513
378	0.07032747869
379	0.07021398569
380	0.07017136219
381	0.07005631389
382	0.06996397452
383	0.0699595428
384	0.06985714854
385	0.06979483552
386	0.06969716129
387	0.06968321688
388	0.06966741723
389	0.06966059956
390	0.06964953248
391	0.0695525292
392	0.06949474831
393	0.06941984452
394	0.06940392756
395	0.06931396621
396	0.06914441673
397	0.06908208353
398	0.0689974977
399	0.06884229833
400	0.06876312546
401	0.06874946363
402	0.06863718263
403	0.06859509133
404	0.06839251848
405	0.06837775288
406	0.06836661408
407	0.06823344689
408	0.0681918808
409	0.06813686366
410	0.06803229521
411	0.06799680603
412	0.06799209804
413	0.06797951093
414	0.06795039872
415	0.06792720617
416	0.06791363141
417	0.0679071871
418	0.06789383239
419	0.06779401053
420	0.06771496839
421	0.06759850191
422	0.06743480515
423	0.06735737616
424	0.06726116351
425	0.06713838575
426	0.06707018953
427	0.06699455948
428	0.06696104983
429	0.06691616625
430	0.06684091173
431	0.066767633
432	0.06668846838
433	0.0666814628
434	0.06658265472
435	0.06652996306
436	0.06650366949
437	0.0664206211
438	0.06640259831
439	0.06633197549
440	0.06632391911
441	0.06626437243
442	0.06616829812
443	0.06613798426
444	0.06598778413
445	0.06589754423
446	0.06584256451
447	0.06580978448
448	0.06580159866
449	0.06575955136
450	0.06564145662
451	0.06562896603
452	0.06556698608
453	0.06556234265
454	0.06545862648
455	0.06542348807
456	0.06530553898
457	0.06521830948
458	0.06521407507
459	0.06520314285
460	0.0651465929
461	0.06508121757
462	0.06502146432
463	0.06499646469
464	0.06490906746
465	0.0648732107
466	0.06480072895
467	0.06471626236
468	0.06467885276
469	0.06464272124
470	0.06457005861
471	0.06442775682
472	0.06438569845
473	0.06435278109
474	0.06414513151
475	0.06412035823
476	0.06397426508
477	0.06394127127
478	0.06388157093
479	0.06380234611
480	0.06374710991
481	0.06368240157
482	0.06361370081
483	0.06359054929
484	0.0634490418
485	0.06342921635
486	0.06341136123
487	0.0633412943
488	0.0631851345
489	0.06314402497
490	0.0630361217
491	0.06301568258
492	0.06300835097
493	0.06299602309
494	0.06291876798
495	0.06280654598
496	0.06275436381
497	0.06274748373
498	0.06262098381
499	0.06253541758
500	0.06249496943
501	0.062453941
502	0.06244375492
503	0.06237298114
504	0.06228033367
505	0.0622718526
506	0.06226660333
507	0.06220953263
508	0.06216914836
509	0.06213073283
510	0.06209644253
511	0.06206375083
512	0.06204092958
513	0.06203095192
514	0.06192599563
515	0.0619138857
516	0.06184366835
517	0.06177630572
518	0.06168405557
519	0.06160488694
520	0.06147779054
521	0.06142842523
522	0.06138816173
523	0.06133225696
524	0.06125353623
525	0.06117099162
526	0.06113339193
527	0.06105174011
528	0.06100998469
529	0.06096717933
530	0.0609459461
531	0.06086338303
532	0.06085564429
533	0.06075272585
534	0.06074891557
535	0.06063708191
536	0.06062907938
537	0.06054429338
538	0.06052928175
539	0.06047358535
540	0.06034600571
541	0.06033219629
542	0.06023213722
543	0.06017659202
544	0.06011897008
545	0.06004015793
546	0.05993400239
547	0.05993264737
548	0.05984553657
549	0.05977203139
550	0.05976315292
551	0.05975699225
552	0.05974707833
553	0.05963671107
554	0.05954423095
555	0.05948419318
556	0.05939575137
557	0.05936837189
558	0.05935172103
559	0.05933489666
560	0.05925229445
561	0.05920412128
562	0.05909052782
563	0.05903340635
564	0.05900129676
565	0.05895773075
566	0.05879251843
567	0.05866072494
568	0.05860131366
569	0.05852508315
570	0.05851951069
571	0.05850962809
572	0.05841939756
573	0.05836171099
574	0.05834205066
575	0.05820623212
576	0.05819148455
577	0.05813063275
578	0.05806980738
579	0.05803163538
580	0.05798931445
581	0.05792368802
582	0.05790496841
583	0.05775680489
584	0.05771851494
585	0.05761694996
586	0.05754931787
587	0.05753056633
588	0.05748349262
589	0.05747695434
590	0.05743596816
591	0.05735418586
592	0.05728831614
593	0.05726316046
594	0.05721908211
595	0.05720992997
596	0.05715039992
597	0.05712827572
598	0.05711264237
599	0.05708986096
600	0.05700477132
601	0.05696867883
602	0.05692862294
603	0.05691486801
604	0.05688574213
605	0.05680900472
606	0.05671591922
607	0.05670087374
608	0.0566712918
609	0.05662196795
610	0.05648280154
611	0.05647392783
612	0.05639908799
613	0.05638984583
614	0.05634760946
615	0.05628205254
616	0.05623474279
617	0.05617648571
618	0.05610788518
619	0.05604201209
620	0.05598073619
621	0.05590550699
622	0.05588804162
623	0.05584264681
624	0.0557664798
625	0.05572429975
626	0.05570241945
627	0.05564077478
628	0.05562900069
629	0.0555231606
630	0.05550614195
631	0.055474421
632	0.05546300035
633	0.05533377413
634	0.05530449906
635	0.05529279465
636	0.05522841172
637	0.0551985444
638	0.05512632615
639	0.05510914943
640	0.05504996983
641	0.05499155668
642	0.05495886836
643	0.05494846768
644	0.05493131886
645	0.05491167097
646	0.05490500923
647	0.0548372129
648	0.05472101139
649	0.05470888275
650	0.05464974199
651	0.05457098297
652	0.05444568259
653	0.05428833465
654	0.05421801507
655	0.05419837426
656	0.0541924765
657	0.05412250553
658	0.05410840562
659	0.05404296793
660	0.05401816618
661	0.05398990673
662	0.05391904656
663	0.0538752468
664	0.05384022988
665	0.05372584933
666	0.05365062877
667	0.0535676047
668	0.05347545211
669	0.05341947436
670	0.05338098167
671	0.05337742656
672	0.05333929735
673	0.05328120904
674	0.05326994282
675	0.05323002002
676	0.05322160011
677	0.05318425482
678	0.05307902537
679	0.05305546364
680	0.05298158515
681	0.05297099835
682	0.05293088574
683	0.05290331081
684	0.05284673979
685	0.05279105592
686	0.05275162207
687	0.05271982095
688	0.05268377019
689	0.05257520072
690	0.0524773589
691	0.05243964361
692	0.05237563266
693	0.05230368391
694	0.05228425791
695	0.05221413899
696	0.05218562938
697	0.0520810833
698	0.05203991913
699	0.05190567797
700	0.05184570222
701	0.05177876872
702	0.0517199587
703	0.05165729489
704	0.051557686
705	0.05149636155
706	0.05144908871
707	0.05142418549
708	0.05132597714
709	0.05127001292
710	0.05126669227
711	0.05122681935
712	0.05113188062
713	0.05111597152
714	0.05109117484
715	0.05104028778
716	0.0510134422
717	0.05094285401
718	0.05091684947
719	0.05090227504
720	0.05086188381
721	0.05083730033
722	0.05082787092
723	0.05076794908
724	0.05074141944
725	0.05071260403
726	0.05067294544
727	0.05063721314
728	0.05062309215
729	0.05058652565
730	0.0505759175
731	0.05053469903
732	0.05045058283
733	0.05044421367
734	0.05043962675
735	0.05040006897
736	0.05038128236
737	0.05035812354
738	0.05035283985
739	0.05033877788
740	0.05030817394
741	0.05022147738
742	0.05018358429
743	0.05012384326
744	0.05005237707
745	0.04999325006
746	0.04990318631
747	0.04984473064
748	0.04983337828
749	0.04978874869
750	0.04972284863
751	0.04963093873
752	0.0495824593
753	0.04956499062
754	0.04955607173
755	0.04947837783
756	0.04939133097
757	0.04933555685
758	0.04927787644
759	0.0491644975
760	0.04915424716
761	0.04912363469
762	0.04907706304
763	0.04896933031
764	0.04896004023
765	0.04892959399
766	0.04891583193
767	0.0488895541
768	0.04886624491
769	0.04880772534
770	0.04880251603
771	0.04871813872
772	0.04870859921
773	0.04864907053
774	0.04863343965
775	0.04862669393
776	0.04859867861
777	0.04858650118
778	0.04856423837
779	0.04855873643
780	0.04853216599
781	0.04845817672
782	0.04840640302
783	0.04837733748
784	0.04832489445
785	0.04830389568
786	0.0482276742
787	0.04822204375
788	0.04816946609
789	0.0481426666
790	0.04810590228
791	0.04808541935
792	0.04803582845
793	0.04801675388
794	0.04798099548
795	0.04794201039
796	0.04791432616
797	0.04790358276
798	0.04789894505
799	0.04785860594
800	0.04778443862
801	0.04776556257
802	0.04775242796
803	0.04774416685
804	0.04768486522
805	0.0476599949
806	0.04762931464
807	0.04762446374
808	0.04754967005
809	0.04753069494
810	0.0475042454
811	0.04747779054
812	0.04747072519
813	0.04742460634
814	0.04734708165
815	0.04733184018
816	0.04731587017
817	0.04725668052
818	0.04718449211
819	0.04715849656
820	0.04710153743
821	0.04704017883
822	0.04693289357
823	0.04689430279
824	0.04685931026
825	0.04683109057
826	0.04677758648
827	0.04671105285
828	0.04667061761
829	0.04665818191
830	0.04665091508
831	0.0466185687
832	0.04659719187
833	0.04654517194
834	0.04651551446
835	0.04648425168
836	0.04647888696
837	0.04644843154
838	0.04643126768
839	0.04634377828
840	0.04631661841
841	0.04627819728
842	0.04622377168
843	0.04618529401
844	0.04615057684
845	0.04610211024
846	0.04608982764
847	0.04604905247
848	0.04602165336
849	0.0459877468
850	0.04597750073
851	0.04595390689
852	0.04593401474
853	0.04590740705
854	0.04588064152
855	0.0458474482
856	0.04582114096
857	0.04579428369
858	0.04577890657
859	0.04571674766
860	0.04571102355
861	0.04570221946
862	0.04569095637
863	0.04568423392
864	0.04565896412
865	0.04563580899
866	0.04557783793
867	0.04555372905
868	0.04553500981
869	0.04552507064
870	0.04550564213
871	0.04546191742
872	0.04544051579
873	0.04539338438
874	0.04534843499
875	0.04527876989
876	0.04525094897
877	0.04522310413
878	0.04517493511
879	0.04511694003
880	0.04504868552
881	0.04494542716
882	0.04489198102
883	0.04488901261
884	0.04485484953
885	0.04484090849
886	0.04481917029
887	0.04477864225
888	0.04472034876
889	0.04469356209
890	0.04468854523
891	0.04467776745
892	0.04467543282
893	0.04465733398
894	0.04464678392
895	0.04461372168
896	0.04458470399
897	0.04453605635
898	0.04452574457
899	0.04450710044
900	0.04448477776
901	0.04443351361
902	0.04440964494
903	0.04440709238
904	0.04432849225
905	0.04427406811
906	0.04426893511
907	0.04420876593
908	0.04417818495
909	0.04414197579
910	0.04407060121
911	0.04396931577
912	0.04393006638
913	0.04386287047
914	0.04385844776
915	0.04382309834
916	0.04376492769
917	0.0437402136
918	0.0436872388
919	0.04360354992
920	0.04358681841
921	0.04357863935
922	0.04350704138
923	0.04344284041
924	0.0434244028
925	0.04339090289
926	0.0433522788
927	0.04335129335
928	0.04329124032
929	0.04327989516
930	0.04320024906
931	0.04319697422
932	0.04315572961
933	0.04314546355
934	0.04303602112
935	0.04300605666
936	0.04298041857
937	0.04294820386
938	0.0429455802
939	0.04291704749
940	0.04289292721
941	0.04287295773
942	0.04278406189
943	0.04274246828
944	0.04266637079
945	0.04265890341
946	0.04262788069
947	0.0426204072
948	0.04259999856
949	0.0425910403
950	0.04251686047
951	0.04243299059
952	0.04242146026
953	0.04238151588
954	0.04233059949
955	0.04231571783
956	0.04229932501
957	0.0422692088
958	0.04217098795
959	0.0421107348
960	0.04199243496
961	0.041955901
962	0.04195070908
963	0.04189728379
964	0.04188168735
965	0.04185560646
966	0.04182112972
967	0.04181844929
968	0.04178726003
969	0.0417805335
970	0.0417561068
971	0.04175217537
972	0.04171208347
973	0.04167685279
974	0.04164987276
975	0.04164406792
976	0.04159714298
977	0.04156494757
978	0.04151399081
979	0.04148636425
980	0.04147975767
981	0.04145450515
982	0.04143057216
983	0.04138667888
984	0.04130207779
985	0.04125264832
986	0.04124416584
987	0.0411923128
988	0.04118912192
989	0.04118684726
990	0.04117718727
991	0.04114087344
992	0.04112626326
993	0.04106516869
994	0.04106299386
995	0.04103345973
996	0.0409830899
997	0.04093915742
998	0.04092624162
999	0.04089642949
